country_code,country,year,agriculture_pct_gdp,atms_per_100k_adults,gdp_per_capita_current_usd,gdp_per_capita_ppp_constant,gini_index,govt_effectiveness_estimate,govt_revenue_pct_gdp,inflation_cpi_annual_pct,internet_users_pct,life_expectancy,mobile_subscriptions_per100,population,remittance_inflows_usd,remittance_outflows_usd,bank_branches_per_100k,official_exchange_rate_lcu_per_usd,broad_money_pct_gdp,deposit_interest_rate_pct,domestic_credit_private_pct_gdp,gdp_growth_annual_pct,gross_savings_pct_gdp,gross_savings_pct_gni,lending_interest_rate_pct,real_interest_rate_pct,export_value_index,import_value_index,risk_premium_on_lending_pct,terms_of_trade_index,current_account_pct_gdp,fdi_net_inflows_pct_gdp,govt_expenditure_pct_gdp,ppp_conversion_factor,tax_revenue_pct_gdp,trade_openness_pct_gdp
TUR,Turkiye,2012,7.658344974583,65.1590163165644,11776.7593362033,22517.7148287875,40.2,0.432250022888184,3.06216246968705e-08,8.89156996512163,45.13,75.552,90.0041,75175827.0,1881000000.0,404000000.0,18.3332587605064,1.79600094441355,49.4029495346267,17.1933333333333,48.4689739669104,4.80762696633448,26.0254131443091,25.4451759921484,,,101.0,110.7,,91.0,-4.72096418758118,1.55241965245755,29.4208604116485,1.019856,1.81051408438054e-08,53.3277612968607
TUR,Turkiye,2013,6.64997261417217,73.9315369787735,12635.5570016068,24117.3121099839,40.2,0.398709654808044,3.08565141961252e-08,7.49309030547693,46.25,76.171,91.1758,76147624.0,1901000000.0,689000000.0,19.3808292291836,1.90376824244752,51.9555839485783,15.295,56.4631840288075,8.48825689298511,27.103109812038,26.3399370821622,,,100.5,117.8,,92.6,-5.12686124176872,1.40962960980578,28.9891426072392,1.070294,1.83984701698244e-08,53.0683530043043
TUR,Turkiye,2014,6.53828042868413,78.6827578223749,12209.3862327674,24888.8521742576,41.2,0.392252773046494,3.03276548006623e-08,8.85457271364324,51.0374,76.452,92.1219,77181884.0,1739000000.0,815000000.0,19.3599360676697,2.18854241775473,51.3065670777795,16.935,59.4210218360502,4.60079447270559,27.5394143960151,26.8300125662284,,,110.3,117.6,,93.9,-3.40746259930754,1.41530142282668,29.2713082967685,1.104504,1.79488969682071e-08,54.30677404128
TUR,Turkiye,2015,6.87689834308907,81.8674092214953,11064.6494504662,25984.8027306177,42.9,0.199524775147438,3.04983562201324e-08,7.67085364845877,53.745,76.539,92.0327,78218479.0,1401000000.0,850000000.0,18.9639629082996,2.72000852790578,52.3721303504702,14.9166666666667,62.5133392412025,5.80557386628684,28.7495430525777,27.7921333695116,,,100.0,100.0,,100.0,-2.46735825450658,2.225752648523,28.8436742291669,1.162452,1.81419244147983e-08,51.8749252596832
TUR,Turkiye,2016,6.26556196399699,80.7061324059931,10984.3643169061,26489.6436816046,41.9,-0.0065070367418229,3.09443928114178e-08,7.7751341532833,58.3477,76.595,91.9287,79277962.0,1201000000.0,1108000000.0,17.9576603238712,3.02013474808043,55.1507347989139,14.61,65.1986552631273,3.32366508200445,28.2230510764144,27.3477821809118,,,98.9,94.6,,104.0,-2.54553759448629,1.58873607703875,30.6055405050211,1.241052,1.83280078853395e-08,48.870183807987
TUR,Turkiye,2017,6.19642323537778,81.8042310709986,10756.3877677883,28194.688309381,43.5,0.0138382893055677,2.95015348950669e-08,11.1443110840765,64.6846,77.037,93.6408,80312698.0,1056000000.0,631000000.0,17.2906971044204,3.64813263536867,53.5497317634405,15.2883333333333,65.5643452353482,7.82585730002594,29.7380316675033,28.7891671366617,,,108.9,111.7,,98.6,-4.06829916731119,1.29532700760314,31.5527664341113,1.38398,1.77025349991329e-08,56.1356585158689
TUR,Turkiye,2018,6.00418639185492,83.9926443006355,9684.11819884721,28780.3036458151,42.4,-0.0684682950377464,3.02077917567155e-08,16.3324638988928,71.0428,77.454,94.9086,81407204.0,1147000000.0,627000000.0,16.8677397951508,4.82837014720942,52.4848065363097,23.2833333333333,62.3805614358321,3.46815306092219,31.9713758293373,30.6657489976786,,,117.3,108.2,,95.0,-1.85233343060557,1.57923380202967,33.1443390183968,1.63261,1.71432984705184e-08,62.8251323851165
TUR,Turkiye,2019,6.6541535628227,84.377947515338,9395.23378001368,28741.0535082701,43.8,-0.0204638708382845,2.92876680765698e-08,15.1768215720022,73.9767,77.737,94.6498,82579440.0,856000000.0,678000000.0,16.1820939250806,5.67381930843574,57.648063536615,25.4091666666667,60.648362363995,1.30162365464503,30.9871337822378,29.5729485423088,,,119.8,98.5,,94.7,1.9351600379275,1.22536076199392,34.8909170453359,1.837125,1.65299780626821e-08,62.5784589326239
TUR,Turkiye,2020,6.89122590909685,82.9983823505554,8798.11791709313,28976.7179161611,43.0,-0.15879775583744,2.95197315950517e-08,12.2789574462574,77.6696,76.525,95.3961,83384680.0,816000000.0,521000000.0,15.5737901804416,7.00860541558522,66.2557194643874,13.3566666666667,69.6122782440048,1.80306247087255,31.2442116582525,30.0988085819943,,,112.4,102.8,,99.6,-4.22230197946184,1.02531493703228,33.4510950281809,2.111056,1.74856241859009e-08,60.389853117297
TUR,Turkiye,2021,5.70488171636816,81.1270914741075,9981.76398411336,32105.5474400506,44.4,-0.119116462767124,2.94977695428913e-08,19.5964926913324,81.4084,75.722,99.5415,84147318.0,726000000.0,631000000.0,15.1516339839844,8.85040754928315,69.89419042803,20.7,64.4913060674857,11.811094450607,34.8745134316222,33.7151431315987,,,149.2,127.1,,88.6,-0.74064931592423,1.50891969619413,30.2009775804558,2.751633,1.74752698219595e-08,69.6088976086437
TUR,Turkiye,2022,6.69360961922604,79.7908163258267,10897.8397861365,33520.8111384208,44.5,-0.199645325541496,2.72711691136776e-08,72.3088359891207,83.4372,77.591,103.721,84979913.0,696000000.0,731000000.0,14.6389698175253,16.5488604173067,54.3584694901504,27.0408333333333,47.3605940540917,5.44122511322401,34.9862889803646,33.9944927117295,,,168.3,170.3,,76.0,-4.99763806227356,1.48839623728753,29.0624088388364,4.558344,1.71801094092697e-08,79.8982722314341
TUR,Turkiye,2023,6.38984597795627,80.5462451761116,13375.0947282864,35069.1701714685,,-0.247911587357521,3.30413461483106e-08,53.8594087593315,85.9607,77.156,105.684,85325965.0,1029000000.0,994000000.0,14.387062155517,23.7385661219918,52.2571521372537,51.325,42.463759840939,5.04512369812289,32.7322533994824,31.7803964026465,,,169.2,169.4,,86.7,-3.49417299638226,0.933806495534912,33.0277530817277,7.420747,1.82219303841014e-08,65.6832084738667
TUR,Turkiye,2024,5.82042467876951,,15892.7157287241,36154.490436557,,,3.14818867303734e-08,58.5064507300343,87.3079,,,85518661.0,982000000.0,1534000000.0,,32.8058614432703,,71.0433333333333,35.984785718197,3.3276230893799,31.2687962544311,30.1060618091059,,,,,,,-0.749968489565428,0.864012554985462,,11.42387,1.76239296511937e-08,54.5988061195916
TZA,Tanzania,2010,25.582406886144,4.01413103221019,736.530151367188,2654.80346679688,,-0.620883345603943,1.03966652547079e-08,6.20015595647403,2.9,61.127,46.8824,44758488.0,344287552.637922,123023671.666771,2.02118557501237,1395.625,24.6479235326913,6.62333333333333,11.5045092654712,6.33652342666889,23.5918623508401,25.0727696401432,14.5441666666667,4.67468740278379,83.7,73.0,9.79083333333337,102.7,-6.90590514874114,5.66396796617806,13.1930823905635,496.744243009281,9.91226158242781e-09,47.6404394295683
