iso3,year,value
MNA,2012,3.55602439287178
MNA,2011,-0.375513449292285
MNA,2010,4.83036957893697
MNA,2009,2.83077998535532
MNA,2008,3.46328367580541
MNA,2007,5.81749668431053
MNA,2006,5.40040817572248
MNA,2005,4.95082503460698
TMN,2012,3.53707375357656
TMN,2011,-0.443113071279598
TMN,2010,4.82401058544104
TMN,2009,2.79415029136179
TMN,2008,3.43901141927678
TMN,2007,5.83016030172563
TMN,2006,5.44292597279696
TMN,2005,4.91110250060804
MIC,2012,5.65933434134629
MIC,2011,6.47282729933193
MIC,2010,8.1953226463346
MIC,2009,4.02815612964409
MIC,2008,5.95950916544223
MIC,2007,8.89954826395221
MIC,2006,8.27608794414316
MIC,2005,7.39387401511797
NAC,2012,2.24317308229351
NAC,2011,1.68675931889908
NAC,2010,2.72408861915019
NAC,2009,-2.60473409198144
NAC,2008,0.181930682514064
NAC,2007,2.00810206865177
NAC,2006,2.77426860186505
NAC,2005,3.46118301337901
OED,2012,1.37675440586294
OED,2011,1.87802028856423
OED,2010,2.96705999909368
OED,2009,-3.38026884475778
OED,2008,0.395831033548873
OED,2007,2.62073098084872
OED,2006,3.04090437455287
OED,2005,2.84476924785857
OSS,2012,1.20022660464679
OSS,2011,3.29069314227961
OSS,2010,2.47562099508463
OSS,2009,-5.13080799644791
OSS,2008,0.898669950888518
OSS,2007,5.46064815476821
OSS,2006,6.20030003008425
OSS,2005,4.60415245323831
PSS,2012,1.02877043788416
PSS,2011,3.87026168877591
PSS,2010,3.66597211061234
PSS,2009,-0.562393943880551
PSS,2008,1.95989498739424
PSS,2007,0.127706732509765
PSS,2006,2.3498331137086
PSS,2005,2.42668245238926
PST,2012,1.24020368594316
PST,2011,1.66465923463286
PST,2010,2.90294693219326
PST,2009,-3.37093667981931
PST,2008,0.364889853578248
PST,2007,2.56777189180531
PST,2006,2.93236522679638
PST,2005,2.79148565676522
PRE,2012,4.33404153771679
PRE,2011,4.3630588597463
PRE,2010,6.6528421155605
PRE,2009,4.84415738549555
PRE,2008,6.38666756485566
PRE,2007,6.06676996004421
PRE,2006,6.21660630763002
PRE,2005,5.96988523180488
SST,2012,2.12048993083546
SST,2011,2.51696311981266
SST,2010,2.32244407295181
SST,2009,-4.35925768092353
SST,2008,1.20769210137048
SST,2007,4.68708395112769
SST,2006,6.55679901193157
SST,2005,4.43251873243698
SAS,2012,5.64515915604163
SAS,2011,5.45109403202389
SAS,2010,8.19440351757765
