period,source_code,source_name,destination_code,destination_name,corridor,avg_cost_pct_200usd,avg_cost_pct_500usd,avg_fx_margin_200usd,avg_fx_margin_500usd,num_providers
2016_2Q,GBR,United Kingdom,CHN,China,GBRCHN,7.344545454545455,4.6463636363636365,2.118181818181818,2.1136363636363638,11
2016_2Q,GBR,United Kingdom,ERI,Eritrea,GBRERI,8.564,3.9939999999999998,0.27999999999999997,0.27999999999999997,5
2016_2Q,GBR,United Kingdom,ETH,Ethiopia,GBRETH,9.403333333333334,6.476666666666667,2.6,2.6,6
2016_2Q,GBR,United Kingdom,GHA,Ghana,GBRGHA,5.785555555555556,4.007222222222222,0.7133333333333334,0.7133333333333334,18
2016_2Q,GBR,United Kingdom,GMB,"Gambia, The",GBRGMB,14.023,11.982,9.193,9.193,10
2016_2Q,GBR,United Kingdom,IND,India,GBRIND,4.1403448275862065,2.217931034482759,0.9517241379310345,0.8786206896551725,29
2016_2Q,GBR,United Kingdom,JAM,Jamaica,GBRJAM,7.107500000000001,4.476666666666667,1.9016666666666666,1.9016666666666666,12
2016_2Q,GBR,United Kingdom,KEN,Kenya,GBRKEN,6.62375,5.298125,3.168125,3.08125,16
2016_2Q,GBR,United Kingdom,LBN,Lebanon,GBRLBN,15.0225,9.785,4.6275,4.6275,4
2016_2Q,GBR,United Kingdom,LKA,Sri Lanka,GBRLKA,5.046428571428572,2.7692857142857146,1.1085714285714285,1.1085714285714285,14
2016_2Q,GBR,United Kingdom,LTU,Lithuania,GBRLTU,8.539285714285715,6.114285714285714,3.172857142857143,3.172857142857143,14
2016_2Q,GBR,United Kingdom,NGA,Nigeria,GBRNGA,5.283076923076923,3.44,0.7569230769230769,0.7569230769230769,13
2016_2Q,GBR,United Kingdom,NPL,Nepal,GBRNPL,5.902727272727272,3.6799999999999997,2.1472727272727274,2.1472727272727274,11
2016_2Q,GBR,United Kingdom,PAK,Pakistan,GBRPAK,3.796666666666667,2.074,1.1260000000000001,1.1260000000000001,15
2016_2Q,GBR,United Kingdom,PHL,Philippines,GBRPHL,6.501290322580645,3.503548387096774,1.3867741935483873,1.3867741935483873,31
2016_2Q,GBR,United Kingdom,POL,Poland,GBRPOL,5.8713043478260865,3.8330434782608696,1.873478260869565,1.873478260869565,23
2016_2Q,GBR,United Kingdom,ROU,Romania,GBRROU,8.786666666666667,5.599333333333333,2.6246666666666667,2.6246666666666667,15
2016_2Q,GBR,United Kingdom,RWA,Rwanda,GBRRWA,13.877142857142857,10.837142857142856,6.664285714285714,6.664285714285714,7
