country_code,country,year,account_ownership_female_pct,account_ownership_male_pct,account_ownership_older_pct,account_ownership_outoflaborforce_pct,account_ownership_pct_15plus,account_ownership_richest60_pct,account_ownership_young_pct,account_ownership_poorest40_pct,account_at_formal_institution_pct,borrowers_at_commercial_banks_per1k,depositors_at_commercial_banks_per1k,saved_at_financial_institution_pct
COL,Colombia,2014,33.9536617887016,44.4218407676077,42.4290359152947,46.1323695670462,38.9990168273556,48.7332566632503,28.4328532290986,24.3945372391819,1297.3877,2.9152608,,12.25326
COL,Colombia,2017,42.4744313309802,49.446970773565,49.4205985198749,53.3371351628405,45.7592285252884,52.8904033175722,34.2662750697486,35.0195639716513,1487.3994,4.1797815,5.932585,8.749703
COL,Colombia,2021,56.204292335596,63.5124351976525,62.582308185314,64.6633794548822,59.7159078921527,67.7428200844271,50.0012093797922,47.6721562541319,1596.1034,,4.320385,11.39428
COL,Colombia,2024,50.9915484901848,63.6600565851691,55.7707912862148,64.5053110770092,57.0594856281374,66.4939466930288,62.2389271536834,42.9248421374649,,,,
DEU,Germany,2011,98.7045340200252,97.5362233643903,98.4678919858835,98.6196620731827,98.1336173269525,100.0,96.0428071694346,98.1317513095814,,3.03,11.49593,55.90004
DEU,Germany,2014,99.4417995852574,98.0492498717625,99.5054377882871,98.7965518383994,98.7604066823874,99.8805746977479,93.6846671054097,96.991104838581,,2.34,16.60348,57.90468
DEU,Germany,2017,99.1992475872443,99.0789317482543,99.5148615382971,99.2990583964155,99.14118600163,99.8158361893549,97.0309268358975,98.1222665174376,,1.5,18.60744,55.37654
DEU,Germany,2021,100.0,99.9519787809101,99.9739577699631,99.9743134327897,99.9765938161833,100.0,100.0,99.9411107337912,,,16.04881,57.14231
DEU,Germany,2024,98.873065264332,97.6782654275893,99.2900736609423,98.1929166907385,98.2983235670699,98.1287844376437,90.8792278031291,98.5525412015415,,,,
EGY,"Egypt, Arab Rep.",2011,,,,,9.71998059496632,,,,351.8498,10.9,17.60347,0.6926641
EGY,"Egypt, Arab Rep.",2014,9.30748469442183,18.7618635500507,17.4208636384443,18.8578989716104,14.1267970490146,19.8864158362697,7.30736049363641,5.45778617891899,355.85316,8.5,21.54306,4.083117
EGY,"Egypt, Arab Rep.",2017,26.9944190972304,38.653475362692,39.6604143097489,33.3984991122631,32.7843607129398,41.0735889934739,14.0479375637552,20.3202254085518,382.18541,,21.54849,6.230193
EGY,"Egypt, Arab Rep.",2021,24.1973567007988,30.5711210140941,33.7872694164269,30.2724550134987,27.4440057212001,32.3904891545339,9.73741687265546,19.9988254520182,,,20.59571,3.554142
EGY,"Egypt, Arab Rep.",2024,40.2142182329493,45.9509692862618,47.0131693568487,48.316807636606,43.1134368034247,49.7821903737145,32.5398576308392,33.080949427223,,,,
ETH,Ethiopia,2014,21.0040311985886,22.6220561075517,25.5881412311813,37.2036257049364,21.7915817461286,26.2639187801133,14.2952258524111,15.0082160318652,,,8.62554,13.63468
