country_code,year,financial_development_overall,financial_institutions,financial_markets,d_financial_development_overall,growth_financial_development_overall,d_financial_institutions,growth_financial_institutions,d_financial_markets,growth_financial_markets
XQ,2017,0.1669017706827547,0.1669017706827547,,-0.053573177782362785,-0.24298986417878166,-0.053573177782362785,-0.24298986417878166,,
XQ,2018,0.14449351117726394,0.14449351117726394,,-0.022408259505490746,-0.1342601664070069,-0.022408259505490746,-0.1342601664070069,,
XQ,2019,0.14383265794236247,0.14383265794236247,,-0.0006608532349014762,-0.0045735841666325605,-0.0006608532349014762,-0.0045735841666325605,,
XQ,2020,0.16620950154631087,0.16620950154631087,,0.0223768436039484,0.15557554121620543,0.0223768436039484,0.15557554121620543,,
XQ,2021,0.16347711466824327,0.16347711466824327,,-0.002732386878067594,-0.016439414429663457,-0.002732386878067594,-0.016439414429663457,,
XQ,2022,0.1555262148692003,0.1555262148692003,,-0.007950899799042982,-0.04863616424340711,-0.007950899799042982,-0.04863616424340711,,
XQ,2023,0.15333787489141998,0.15333787489141998,,-0.0021883399777803125,-0.014070553826702081,-0.0021883399777803125,-0.014070553826702081,,
XU,1999,0.2884926691786766,0.2884926691786766,,,,,,,
XU,2000,0.29664855909823756,0.29664855909823756,,0.008155889919560955,0.02827070075222471,0.008155889919560955,0.02827070075222471,,
XU,2001,0.32083469050638186,0.32083469050638186,,0.024186131408144296,0.08153126204848626,0.024186131408144296,0.08153126204848626,,
XU,2002,0.32028437400324183,0.32028437400324183,,-0.0005503165031400248,-0.0017152649617516724,-0.0005503165031400248,-0.0017152649617516724,,
XU,2003,0.32752004147106056,0.32752004147106056,,0.007235667467818729,0.02259138457920984,0.007235667467818729,0.02259138457920984,,
XU,2004,0.34043904681599363,0.34043904681599363,,0.012919005344933066,0.039444930719070515,0.012919005344933066,0.039444930719070515,,
XU,2005,0.3556057584367712,0.3556057584367712,,0.015166711620777595,0.04455044673231967,0.015166711620777595,0.04455044673231967,,
XU,2006,0.3738839935063419,0.3738839935063419,,0.01827823506957066,0.051400278639809116,0.01827823506957066,0.051400278639809116,,
XU,2007,0.3822377538340039,0.3822377538340039,,0.008353760327661996,0.022343187921256336,0.008353760327661996,0.022343187921256336,,
XU,2008,0.3845819238227074,0.3845819238227074,,0.002344169988703515,0.006132753672787539,0.002344169988703515,0.006132753672787539,,
XU,2009,0.3155651379346998,0.3155651379346998,,-0.06901678588800758,-0.1794592559161059,-0.06901678588800758,-0.1794592559161059,,
XU,2010,0.3060314159021776,0.3060314159021776,,-0.00953372203252223,-0.030211581972958812,-0.00953372203252223,-0.030211581972958812,,
XU,2011,0.2963960082276664,0.2963960082276664,,-0.00963540767451121,-0.03148502792141816,-0.00963540767451121,-0.03148502792141816,,
XU,2012,0.29213693647857725,0.29213693647857725,,-0.004259071749089127,-0.014369531406838831,-0.004259071749089127,-0.014369531406838831,,
XU,2013,0.2879873803542563,0.2879873803542563,,-0.004149556124320941,-0.014204147460227912,-0.004149556124320941,-0.014204147460227912,,
XU,2014,0.2911524755686745,0.2911524755686745,,0.003165095214418212,0.01099039551845915,0.003165095214418212,0.01099039551845915,,
XU,2015,0.2990924716458817,0.2990924716458817,,0.00793999607720719,0.02727092071499282,0.00793999607720719,0.02727092071499282,,
XU,2016,0.3062987644875991,0.3062987644875991,,0.0072062928417173655,0.02409386234986699,0.0072062928417173655,0.02409386234986699,,
XU,2017,0.30687041382882924,0.30687041382882924,,0.0005716493412301626,0.0018663129189777639,0.0005716493412301626,0.0018663129189777639,,
XU,2018,0.30499476667062686,0.30499476667062686,,-0.001875647158202376,-0.006112179844253718,-0.001875647158202376,-0.006112179844253718,,
XU,2019,0.30791703577130625,0.30791703577130625,,0.0029222691006793866,0.009581374567765089,0.0029222691006793866,0.009581374567765089,,
XU,2020,0.31916342944725345,0.31916342944725345,,0.011246393675947208,0.03652410347409307,0.011246393675947208,0.03652410347409307,,
XU,2021,0.29860480839871717,0.29860480839871717,,-0.020558621048536285,-0.06441408742894184,-0.020558621048536285,-0.06441408742894184,,
XU,2022,0.30408642243930906,0.30408642243930906,,0.005481614040591887,0.018357420531796897,0.005481614040591887,0.018357420531796897,,
XU,2023,0.292172725293221,0.292172725293221,,-0.011913697146088031,-0.039178655365534554,-0.011913697146088031,-0.039178655365534554,,
YE,1999,0.030716363367249797,0.030716363367249797,,,,,,,
YE,2000,0.028457164412456038,0.028457164412456038,,-0.0022591989547937584,-0.07355033953018497,-0.0022591989547937584,-0.07355033953018497,,
YE,2001,0.03357490143364448,0.03357490143364448,,0.0051177370211884406,0.1798400201443946,0.0051177370211884406,0.1798400201443946,,
YE,2002,0.033964365487403704,0.033964365487403704,,0.0003894640537592253,0.011599856950553988,0.0003894640537592253,0.011599856950553988,,
YE,2003,0.037272869572677614,0.037272869572677614,,0.0033085040852739098,0.09741103765064962,0.0033085040852739098,0.09741103765064962,,
YE,2004,0.04193396131380915,0.04193396131380915,,0.004661091741131537,0.1250532034310632,0.004661091741131537,0.1250532034310632,,
YE,2005,0.040627068158602335,0.040627068158602335,,-0.001306893155206816,-0.03116550676972285,-0.001306893155206816,-0.03116550676972285,,
YE,2006,0.040474306069864345,0.040474306069864345,,-0.0001527620887379899,-0.003760106147498221,-0.0001527620887379899,-0.003760106147498221,,
YE,2007,0.04791474574391065,0.04791474574391065,,0.007440439674046305,0.18383118567130108,0.007440439674046305,0.18383118567130108,,
YE,2008,0.04510942647885061,0.04510942647885061,,-0.002805319265060037,-0.05854814048379997,-0.002805319265060037,-0.05854814048379997,,
YE,2009,0.045288308773136186,0.045288308773136186,,0.00017888229428557334,0.00396551914419585,0.00017888229428557334,0.00396551914419585,,
YE,2010,0.03682172892753898,0.03682172892753898,,-0.008466579845597205,-0.18694846583936364,-0.008466579845597205,-0.18694846583936364,,
YE,2011,0.029675487181459795,0.029675487181459795,,-0.007146241746079186,-0.19407675723598383,-0.007146241746079186,-0.19407675723598383,,
YE,2012,0.027197097378752436,0.027197097378752436,,-0.00247838980270736,-0.08351639814883216,-0.00247838980270736,-0.08351639814883216,,
