iso3,iso2,country,wave,year,ari,pmi,csi,spi,ebi,fin_dev,gdp_pc_ppp,npl_ratio,log_gdp_pc,log_fin_dev,ari_x_pmi,ari_z,pmi_z,csi_z,spi_z,ebi_z,ari_z_x_pmi_z,csi_x_pmi,spi_x_pmi,ebi_x_pmi
BIH,BA,,5,2019,13.0,6.0,4.0,13.0,6.0,53.3616301638284,15474.8455868402,7.41165705829786,9.646971119269747,3.9770919514373517,78.0,1.1712735435644837,-0.48142705760547244,-0.510904486802388,1.5318102796221837,-0.33661404265880746,-0.5638827757293845,24.0,78.0,36.0
BGD,BD,,1,2001,13.0,5.0,3.0,9.0,6.0,23.8595509667498,1597.58740614435,,7.376249899086277,3.1721845969935107,65.0,1.1712735435644837,-1.164585696029432,-1.0952723638639428,0.0010918106055752641,-0.33661404265880746,-1.3640484149729035,15.0,45.0,30.0
BGD,BD,,3,2007,13.0,7.0,3.0,9.0,7.0,31.7873581960849,2388.10025160357,,7.778253455039828,3.4590686697421384,91.0,1.1712735435644837,0.20173158081848727,-1.0952723638639428,0.0010918106055752641,0.6454087429491185,0.2362828635141346,21.0,63.0,49.0
BGD,BD,,4,2012,14.0,6.0,4.0,9.0,5.0,42.7781247378999,3434.27815090447,6.72327958982541,8.141562037275735,3.7560268676747746,84.0,1.5572424288189712,-0.48142705760547244,-0.510904486802388,0.0010918106055752641,-1.3186368282667333,-0.7496986404847167,24.0,54.0,30.0
BGD,BD,,5,2019,14.0,7.0,8.0,,6.0,38.8963276596401,6047.12401504125,8.90213335235847,8.707338068586358,3.660899841531501,98.0,1.5572424288189712,0.20173158081848727,1.8265670214438308,,-0.33661404265880746,0.3141449768832717,56.0,,42.0
BEL,BE,,1,2001,14.0,6.0,7.0,7.0,6.0,66.2984721275927,28793.5142643594,,10.267905441608713,4.194166852093591,84.0,1.5572424288189712,-0.48142705760547244,1.2421991443822762,-0.7642674239027291,-0.33661404265880746,-0.7496986404847167,42.0,42.0,36.0
BEL,BE,,2,2003,9.0,7.0,4.0,7.0,7.0,62.5301831222026,30930.6283334744,,10.339502180166418,4.135649370124456,63.0,-0.3726019974534664,0.20173158081848727,-0.510904486802388,-0.7642674239027291,0.6454087429491185,-0.07516558996241375,28.0,49.0,49.0
BEL,BE,,3,2007,7.0,8.0,2.0,6.0,8.0,68.4432666538424,36798.1918857259,1.16267286868485,10.513203989409874,4.226005178069666,56.0,-1.1445397679624414,0.8848902192424469,-1.6796402409254974,-1.1469470411568812,1.6274315285570444,-1.012792046203984,16.0,48.0,64.0
BEL,BE,,4,2012,6.0,5.0,5.0,8.0,4.0,54.489554819636,42483.5250666788,3.79788657163647,10.656871634268661,3.998009028615514,30.0,-1.530508653216929,-1.164585696029432,0.07346339025916672,-0.3815878066485769,-2.3006596138746596,1.7824084851857058,25.0,40.0,20.0
BEL,BE,,5,2019,5.0,7.0,8.0,12.0,6.0,67.7573168470454,56712.469571978,2.08706915566812,10.94574938744094,4.215932451670842,35.0,-1.9164775384714166,0.20173158081848727,1.8265670214438308,1.1491306623680317,-0.33661404265880746,-0.3866140434389621,56.0,84.0,42.0
BFA,BF,,2,2003,10.0,7.0,5.0,3.0,7.0,11.3534781382915,1037.83799374653,,6.944894976156103,2.429524140885404,70.0,0.013366887801021103,0.20173158081848727,0.07346339025916672,-2.2949858929193376,0.6454087429491185,0.00269652340672334,35.0,21.0,49.0
BFA,BF,,3,2007,11.0,6.0,5.0,6.0,6.0,12.7263840044823,1290.49951017424,,7.162784639595823,2.5436773191535824,66.0,0.3993357730555086,-0.48142705760547244,0.07346339025916672,-1.1469470411568812,-0.33661404265880746,-0.19225104621872022,30.0,36.0,36.0
BFA,BF,,4,2012,10.0,5.0,3.0,7.0,6.0,16.5866617887842,1571.83884477315,,7.360001451686408,2.808598865678217,50.0,0.013366887801021103,-1.164585696029432,-1.0952723638639428,-0.7642674239027291,-0.33661404265880746,-0.015566886333499485,15.0,35.0,30.0
BFA,BF,,5,2019,10.0,7.0,2.0,10.0,7.0,28.3014161860872,2232.16282016585,,7.710726268943597,3.3429118453083455,70.0,0.013366887801021103,0.20173158081848727,-1.6796402409254974,0.3837714278597274,0.6454087429491185,0.00269652340672334,14.0,70.0,49.0
BGR,BG,,1,2001,12.0,7.0,4.0,9.0,7.0,14.3305957706742,6918.71544829339,,8.841985402521209,2.6623968160403555,84.0,0.7853046583099962,0.20173158081848727,-0.510904486802388,0.0010918106055752641,0.6454087429491185,0.15842075014499754,28.0,63.0,49.0
BGR,BG,,2,2003,9.0,8.0,7.0,7.0,8.0,25.6925538139988,8120.69171995465,,9.002170616714034,3.2462012150560593,72.0,-0.3726019974534664,0.8848902192424469,1.2421991443822762,-0.7642674239027291,1.6274315285570444,-0.32971186321677154,56.0,56.0,64.0
BGR,BG,,3,2007,10.0,9.0,6.0,8.0,6.0,58.3447337979952,12053.9890484885,,9.397150925505038,4.066369102697233,90.0,0.013366887801021103,1.5680488576664067,0.6578312673207214,-0.3815878066485769,-0.33661404265880746,0.020959933146946167,54.0,72.0,54.0
BGR,BG,,4,2012,7.0,6.0,6.0,10.0,6.0,65.6983446887853,15468.9385426046,16.6263209293069,9.646589327289643,4.185073730177508,42.0,-1.1445397679624414,-0.48142705760547244,0.6578312673207214,0.3837714278597274,-0.33661404265880746,0.5510124128026084,36.0,60.0,36.0
BGR,BG,,5,2019,7.0,7.0,7.0,11.0,7.0,49.7738396618268,25211.6177329277,6.62129943689451,10.13506018840984,3.907489538012578,49.0,-1.1445397679624414,0.20173158081848727,1.2421991443822762,0.7664510451138795,0.6454087429491185,-0.23088981670068792,49.0,77.0,49.0
BHR,BH,,1,2001,12.0,8.0,3.0,12.0,7.0,41.8156768047881,46161.5758464288,,10.739903039386718,3.7332713123963464,96.0,0.7853046583099962,0.8848902192424469,-1.0952723638639428,1.1491306623680317,0.6454087429491185,0.6949084112640473,24.0,96.0,56.0
BHR,BH,,2,2003,10.0,9.0,5.0,10.0,7.0,42.1254859958743,45426.9345932944,,10.723860481092652,3.740652925600024,90.0,0.013366887801021103,1.5680488576664067,0.07346339025916672,0.3837714278597274,0.6454087429491185,0.020959933146946167,45.0,90.0,63.0
BHR,BH,,3,2007,10.0,8.0,6.0,8.0,6.0,53.1180542636418,49347.494619615,,10.806642275986588,3.972516875424309,80.0,0.013366887801021103,0.8848902192424469,0.6578312673207214,-0.3815878066485769,-0.33661404265880746,0.011828228276834753,48.0,64.0,48.0
BHR,BH,,4,2012,7.0,6.0,6.0,13.0,6.0,66.5172271480683,56712.5692656153,,10.945751145318008,4.197460968971063,42.0,-1.1445397679624414,-0.48142705760547244,0.6578312673207214,1.5318102796221837,-0.33661404265880746,0.5510124128026084,36.0,78.0,36.0
BHR,BH,,5,2019,8.0,8.0,8.0,12.0,7.0,,56599.5214364411,,10.943755808968977,,64.0,-0.7585708827079539,0.8848902192424469,1.8265670214438308,1.1491306623680317,0.6454087429491185,-0.6712519547103778,64.0,96.0,56.0
BDI,BI,,1,2001,14.0,7.0,3.0,8.0,6.0,16.1392576263147,528.435573413436,,6.269920893268983,2.7812546658926767,98.0,1.5572424288189712,0.20173158081848727,-1.0952723638639428,-0.3815878066485769,-0.33661404265880746,0.3141449768832717,21.0,56.0,42.0
BDI,BI,,2,2003,11.0,7.0,4.0,3.0,7.0,19.9469307040772,531.812612194556,,6.27629119457613,2.9930752820801474,77.0,0.3993357730555086,0.20173158081848727,-0.510904486802388,-2.2949858929193376,0.6454087429491185,0.08055863677586042,28.0,21.0,49.0
BDI,BI,,3,2007,12.0,7.0,4.0,9.0,8.0,14.5614835019162,593.560734529723,,6.386139541635851,2.678379926446093,84.0,0.7853046583099962,0.20173158081848727,-0.510904486802388,0.0010918106055752641,1.6274315285570444,0.15842075014499754,28.0,63.0,56.0
